Designator,Mid X,Mid Y,Layer,Rotation
C1,90.600000,-139.700000,bottom,90.000000
C2,92.600000,-139.700000,bottom,90.000000
C3,94.600000,-139.700000,bottom,90.000000
C4,104.500000,-143.300000,bottom,90.000000
C5,108.400000,-139.700000,bottom,90.000000
C6,91.800000,-120.000000,bottom,90.000000
C7,93.800000,-120.000000,bottom,90.000000
D1,97.700000,-139.700000,bottom,0.000000
D2,101.600000,-139.700000,bottom,0.000000
D3,90.200000,-129.800000,bottom,90.000000
D4,90.200000,-126.400000,bottom,90.000000
FB1,91.400000,-143.300000,bottom,90.000000
R1,106.500000,-139.700000,bottom,90.000000
R2,104.600000,-139.700000,bottom,90.000000
R3,92.700000,-129.800000,bottom,90.000000
R4,92.700000,-126.400000,bottom,90.000000
R7,101.000000,-132.300000,bottom,0.000000
R8,97.800000,-132.300000,bottom,0.000000
U1,107.700000,-143.300000,bottom,0.000000
J3,106.000000,-142.500000,top,0.000000
J4,95.800000,-142.500000,top,0.000000
U2,100.000000,-125.250000,top,0.000000
